Task ID: 1	Task: getting organized at work
		1	home bathroom
		1	home improvement
		1	include floors
		1	light fixture
		1	lighting bathroom design software
		1	measure
		1	mirror
		1	mirrors how to choose bathroom
		1	more photos
		1	one bathroom
		1	our master bathroom
		1	poles choosing bathroom
		1	replace it yet
		1	sets choosing bathroom
		1	storage
		1	the bathroom
		1	the room
		1	vanities bathroom
		1	your bathroom
	Subtask ID: 5	Description: Choose floor plan
		2	Categories Choosing Bathroom
		2	Choosing Bathroom Fixtures
		2	Choosing Your Bathroom Cabinets
		2	Related to Choosing Bathroom
		2	Vanity How To Choose A Bathroom
		2	about Choosing Bathroom
		2	appearance in your bathroom by choosing
		2	bath grande oversized reversible rug
		2	bathroom accessories
		2	bathroom by choosing the right
		2	bathroom choosing the best
		2	bathroom decor
		2	bathroom design tagged
		2	bathroom designer luxury
		2	bathroom designs design tagged
		2	bathroom fixtures
		2	bathroom furniture
		2	bathroom grande rugs
		2	bathroom remodel bathroomremodel
		2	bathroom remodel questions to ask a contractor
		2	bathroom remodeling
		2	bathroom renovations
		2	bathroom sink
		2	bathroom sink ideas
		2	bathroom sink information
		2	bathroom sink plumbing
		2	bathroom tagged
		2	bathroom tops accessories vanity
		2	bathroom vanities
		2	bathroom vanities showers toilets lowe s
		2	bathroom vanity
		2	bathroom vanity accessories furniture
		2	bathroom vanity oak furniture
		2	bathroom vanity sinks furniture
		2	bathroom vanity units
		2	bathroom walls
		2	bathroomcornervanity corner bathroom vanity
		2	bathtubs how to choose bathroom
		2	buy bathroom remodeling choosing
		2	cheap bathroom suites
		2	choose a bathroom
		2	choose bathroom bathroomcornervanity corner vanity
		2	choose bathroom decor
		2	choose bathroom design tagged
		2	choose bathroom designer luxury
		2	choose bathroom designs design tagged
		2	choose bathroom home
		2	choose bathroom home improvement
		2	choose bathroom home remodeling remodel
		2	choose bathroom homes designing
		2	choose bathroom remodel bathroomremodel
		2	choose bathroom remodeling
		2	choose bathroom small
		2	choose bathroom small designs
		2	choose bathroom tagged
		2	choose bathroom vanities
		2	choose bathroom vanities the
		2	choose bathroom vanity accessories furniture
		2	choose bathroom vanity oak furniture
		2	choose bathroom vanity sinks furniture
		2	choosing bathroom fixtures
		2	claw foot home perfect tub
		2	custom bathroom vanity
		2	decorating your bathroom choosing
		2	find fixtures
		2	home bathroom remodeling remodel
		2	homes designing
		2	how to choose a bathroom suite
		2	how to choose bathroom accessories and bathtubs
		2	how to choose bathroom exhaust fans
		2	how to choose bathroom hardware
		2	how to choose bathroom plumbing fixtures
		2	how to choose bathroom tiles
		2	how to install a bathroom sink
		2	ideas choosing bathroom
		2	include floors
		2	install storage
		2	modern bathroom ideas choosing
		2	remember to leave space
		2	small bathrooms
		2	small designs bathrooms
		2	suite bathroom
		1	Choose A Bathroom Wall
		1	Choosing Bathroom Accessories
		1	Choosing Bathroom Shower
		1	Faucets Choosing Bathroom
		1	a bathroom
		1	a look
		1	appraise your bathroom
		1	basin how to choose bathroom
		1	bath mat
		1	bathroom brass
		1	bathroom cabinets
		1	bathroom cabinets lighting
		1	bathroom faucets
		1	bathroom generation tissue unscented
		1	bathroom name product tissue unscented
		1	bathroom oak cabinet design furniture vanity
		1	choose a type bathroom
		1	choose bathroom cabinets
		1	choose bathroom cabinets lighting
		1	choose bathroom lighting
		1	choose bathroom lighting design fixtures
		1	choose bathroom lighting design software
		1	choose bathroom lighting modern design contemporary
		1	choose bathroom oak cabinet design furniture vanity
		1	choose bathroom toilet
		1	choose bathroom tops accessories vanity
		1	choose bathroom wall bathroomcabinetwall cabinet
		1	do it entirely
		1	experiment
		1	full bathroom
		1	fun choosing bathroom
		1	home bathroom
		1	home improvement
		1	home safety
		1	leave space
		1	measure
		1	more photos
		1	one bathroom
		1	our master bathroom
		1	poles choosing bathroom
		1	replace it yet
		1	rugs how to choose bathroom
		1	serve a function
		1	sets choosing bathroom
		1	storage
		1	tape measure to measure
		1	the bathroom
		1	the room
		1	use a tape measure
		1	your bathroom
	Subtask ID: 6	Description: Choose sink
		2	Categories Choosing Bathroom
		2	Choosing Bathroom Accessories
		2	Choosing Bathroom Fixtures
		2	Choosing Your Bathroom Cabinets
		2	Faucets Choosing Bathroom
		2	Related to Choosing Bathroom
		2	Vanity How To Choose A Bathroom
		2	about Choosing Bathroom
		2	appearance in your bathroom by choosing
		2	basin how to choose bathroom
		2	bathroom accessories
		2	bathroom brass
		2	bathroom by choosing the right
		2	bathroom cabinets
		2	bathroom cabinets lighting
		2	bathroom choosing the best
		2	bathroom decor
		2	bathroom design tagged
		2	bathroom designer luxury
		2	bathroom designs design tagged
		2	bathroom faucets
		2	bathroom fixtures
		2	bathroom furniture
		2	bathroom oak cabinet design furniture vanity
		2	bathroom remodel bathroomremodel
		2	bathroom remodel questions to ask a contractor
		2	bathroom remodeling
		2	bathroom renovations
		2	bathroom sink
		2	bathroom sink ideas
		2	bathroom sink information
		2	bathroom sink plumbing
		2	bathroom tagged
		2	bathroom tops accessories vanity
		2	bathroom vanities
		2	bathroom vanities showers toilets lowe s
		2	bathroom vanity
		2	bathroom vanity accessories furniture
		2	bathroom vanity oak furniture
		2	bathroom vanity sinks furniture
		2	bathroom vanity units
		2	bathroom walls
		2	bathroomcornervanity corner bathroom vanity
		2	buy bathroom remodeling choosing
		2	cheap bathroom suites
		2	choose a bathroom
		2	choose a type bathroom
		2	choose bathroom brass
		2	choose bathroom colors
		2	choose bathroom decor
		2	choose bathroom design tagged
		2	choose bathroom designer luxury
		2	choose bathroom faucets two
		2	choose bathroom home
		2	choose bathroom home improvement
		2	choose bathroom home remodeling remodel
		2	choose bathroom homes designing
		2	choose bathroom remodel bathroomremodel
		2	choose bathroom remodeling
		2	choose bathroom small
		2	choose bathroom small designs
		2	choose bathroom tagged
		2	choose bathroom vanity accessories furniture
		2	choose bathroom vanity oak furniture
		2	choose bathroom vanity sinks furniture
		2	choosing bathroom fixtures
		2	custom bathroom vanity
		2	decorating your bathroom choosing
		2	faucets bathroom two
		2	find fixtures
		2	home bathroom remodeling remodel
		2	how to choose a bathroom suite
		2	how to choose bathroom accessories and bathtubs
		2	how to choose bathroom hardware
		2	how to choose bathroom plumbing fixtures
		2	how to choose bathroom sink faucets
		2	how to install a bathroom sink
		2	ideas choosing bathroom
		2	modern bathroom ideas choosing
		2	small bathrooms
		2	small designs bathrooms
		2	suite bathroom
		1	Choose A Bathroom Wall
		1	Choosing Bathroom Shower
		1	a bathroom
		1	appraise your bathroom
		1	bath grande oversized reversible rug
		1	bath mat
		1	bathroom generation tissue unscented
		1	bathroom grande rugs
		1	bathroom name product tissue unscented
		1	choose bathroom accessories
		1	choose bathroom bathroomcornervanity corner vanity
		1	choose bathroom cabinets
		1	choose bathroom cabinets lighting
		1	choose bathroom designs design tagged
		1	choose bathroom lighting
		1	choose bathroom lighting design fixtures
		1	choose bathroom lighting design software
		1	choose bathroom lighting modern design contemporary
		1	choose bathroom oak cabinet design furniture vanity
		1	choose bathroom toilet
		1	choose bathroom tops accessories vanity
		1	choose bathroom vanities
		1	choose bathroom vanities the
		1	choose bathroom wall bathroomcabinetwall cabinet
		1	choosing bathroom colours
		1	claw foot home perfect tub
		1	do it entirely
		1	experiment
		1	full bathroom
		1	fun choosing bathroom
		1	good washing
		1	home bathroom
		1	home improvement
		1	home safety
		1	homes designing
		1	measure
		1	more photos
		1	one bathroom
		1	our master bathroom
		1	poles choosing bathroom
		1	remember to leave space
		1	replace it yet
		1	serve a function
		1	sets choosing bathroom
		1	shop by brand
		1	storage
		1	tape measure to measure
		1	the bathroom
		1	the room
		1	use a tape measure
		1	your bathroom
	Subtask ID: 7	Description: Choose cabinets
		2	Categories Choosing Bathroom
		2	Choosing Bathroom Fixtures
		2	Choosing Your Bathroom Cabinets
		2	Related to Choosing Bathroom
		2	Vanity How To Choose A Bathroom
		2	about Choosing Bathroom
		2	appearance in your bathroom by choosing
		2	basin how to choose bathroom
		2	bathroom accessories
		2	bathroom brass
