Task ID: 1	Task: acid stain concrete
		1	swimming pool care doesn't have to be expensive
		1	swimming pool cleaners
Task ID: 3	Task: pole vault
	Subtask ID: 1	Description: Learn how to pole vault at home
		2	3 d pole vault simulation
		2	Learn how pole vaulters
		2	introduction to the pole vault
		1	Covers Pole Vault
		1	Games Pole Vault
		1	Girls Pole Vault
		1	Heights Pole Vault
		1	Jump Pole Vault
		1	Pole Vault Camp
		1	Pole Vault Equipment
		1	Pole Vault Light
		1	Pole Vault Technique
		1	Pole Vault Value
		1	Pole Vaulter Need
		1	Pole Vaulting Bar
		1	Pole Vaulting Tips
		1	Pole Vaulting design
		1	Relays Pole Vault
		1	School Pole Vaulter
		1	a comprehensive look at olympic pole vault
		1	bill falk
		1	general jumps training program athletes
		1	include pole vaulting
		1	jump shoes spikes
		1	olympic pole vault essentials
		1	pole selection
		1	pole size
		1	pole vault
		1	pole vault bookby everything track
		1	pole vault clinic club competitions weekly dallas fort worth texas poles polevault girls boys clinics camps lessons
		1	pole vault dvds and videos
		1	pole vault education information
		1	pole vault equipment
		1	pole vault fail
		1	pole vault game
		1	pole vault images at olympics
		1	pole vault not stock photo's
		1	pole vault resources
		1	pole vault rules
		1	pole vault technique
		1	pole vault training
		1	pole vault training program
		1	pole vault video
		1	pole vault videos
		1	pole vaulting
		1	pole vaulting equipment
		1	risk of the vaulting pole
		1	specific annual training programs suitable
	Subtask ID: 2	Description: Learn pole vaulting with online videos or dvd
		2	3 d pole vault simulation
		2	Learn how pole vaulters
		2	introduction to the pole vault
		2	pole vault dvds and videos
		1	Games Pole Vault
		1	Girls Pole Vault
		1	Heights Pole Vault
		1	Jump Pole Vault
		1	Pole Vault Camp
		1	Pole Vault Equipment
		1	Pole Vault Light
		1	Pole Vault Olympic Trials
		1	Pole Vault Technique
		1	Pole Vault Value
		1	Pole Vaulter Need
		1	Pole Vaulting Bar
		1	Pole Vaulting Tips
		1	Pole Vaulting design
		1	Relays Pole Vault
		1	School Pole Vaulter
		1	a comprehensive look at olympic pole vault
		1	bill falk
		1	general jumps training program athletes
		1	include pole vaulting
		1	jump shoes spikes
		1	olympic pole vault essentials
		1	pole vault camp
		1	pole vault clinic club competitions weekly dallas fort worth texas poles polevault girls boys clinics camps lessons
		1	pole vault education information
		1	pole vault equipment
		1	pole vault fail
		1	pole vault game
		1	pole vault history
		1	pole vault images at olympics
		1	pole vault not stock photo's
		1	pole vault resources
		1	pole vault rules
		1	pole vault technique
		1	pole vault training
		1	pole vault training program
		1	pole vault video
		1	pole vault videos
		1	pole vaulting
		1	pole vaulting equipment
		1	risk of the vaulting pole
		1	specific annual training programs suitable
	Subtask ID: 3	Description: Find trainers for pole vault
		2	pole vault clinic club competitions weekly dallas fort worth texas poles polevault girls boys clinics camps lessons
		2	pole vault resources
		2	specific annual training programs suitable
		1	Championships Pole Vault
		1	Jump Pole Vault
		1	Learn how pole vaulters
		1	Pole Vault Camp
		1	Pole Vault Technique
		1	Pole Vaulter Need
		1	Pole Vaulting Tips
		1	School Pole Vaulter
		1	bill falk
		1	coach chris johnson's pole vault site
		1	coach sport/event specific articles
		1	general jumps training program athletes
		1	include pole vaulting
		1	introduction to the pole vault
		1	pole vault camp
		1	pole vault camps
		1	pole vault education information
		1	pole vault pole vault web directory
		1	pole vault rules
		1	training drills
		1	training pathway athletes
	Subtask ID: 4	Description: Find centers for learning Pole vault
		2	pole vault clinic club competitions weekly dallas fort worth texas poles polevault girls boys clinics camps lessons
		2	pole vault resources
		2	specific annual training programs suitable
		1	Championships Pole Vault
		1	Girls Pole Vault
		1	Heights Pole Vault
		1	Jump Pole Vault
		1	Learn how pole vaulters
		1	Pole Vault Camp
		1	Pole Vault Technique
		1	Pole Vaulter Need
		1	Pole Vaulting Tips
		1	Pole Vaulting design
		1	School Pole Vaulter
		1	Texas Pole Vault
		1	bill falk
		1	club camps
		1	coach chris johnson's pole vault site
		1	coach sport/event specific articles
		1	general jumps training program athletes
		1	include pole vaulting
		1	introduction to the pole vault
		1	pole vault camp
		1	pole vault camps
		1	pole vault education information
		1	pole vault pole vault web directory
		1	pole vault rules
		1	training drills
		1	training pathway athletes
		1	usa pole vault academy
	Subtask ID: 5	Description: Buy pole vault outfit online
		2	pole vault equipment
		2	pole vault polesby everything track
		2	pole vault resources
		2	pole vault spikes
		1	Covers Pole Vault
		1	ESSX Vaulting Pole
		1	Girls Pole Vault
		1	Heights Pole Vault
		1	Jump Pole Vault
		1	Learn how pole vaulters
		1	Pole Vault Camp
		1	Pole Vault Equipment
		1	Pole Vault Value
		1	Pole Vaulter Need
		1	Pole Vaulting Bar
		1	Pole Vaulting Tips
		1	School Pole Vaulter
		1	distance spikes
		1	include pole vaulting
		1	introduction to the pole vault
		1	jump shoes spikes
		1	mean green skypole
		1	pole selection
		1	pole vault bookby everything track
		1	pole vault pole bags
		1	pole vault pole vault web directory
		1	vault equipment
	Subtask ID: 6	Description: Buy pole vault equipment online
		2	pole vault equipment
		2	pole vault flex gill
		2	pole vault pits
		2	pole vault pole bags
		2	pole vault resources
		2	pole vault spikes
		2	pole vaulting equipment
		2	risk of the vaulting pole
		2	vault equipment
		2	vault poles and make
		1	5-metre long horizontal bar
		1	Covers Pole Vault
		1	ESSX Vaulting Pole
		1	Girls Pole Vault
		1	Heights Pole Vault
		1	Jump Pole Vault
		1	Learn how pole vaulters
		1	Pole Vault Camp
		1	Pole Vault Equipment
		1	Pole Vault Light
		1	Pole Vault Value
		1	Pole Vaulter Need
		1	Pole Vaulting Bar
		1	Pole Vaulting Tips
		1	School Pole Vaulter
		1	distance spikes
		1	include pole vaulting
		1	introduction to the pole vault
		1	jump shoes spikes
		1	mean green skypole
		1	pole selection
		1	pole size
		1	pole vault bookby everything track
		1	pole vault pole vault web directory
		1	school pole
		1	ucs pole vault landing areas
	Subtask ID: 7	Description: Popular pole vault clubs in some location such as London, Huston etc
		2	pole vault clinic club competitions weekly dallas fort worth texas poles polevault girls boys clinics camps lessons
		2	pole vault finals in mexico city olympics
		2	pole vault game
		1	Championships Pole Vault
		1	Games Pole Vault
		1	Girls Pole Vault
		1	Invitational Pole Vault
		1	Open Pole Vault
		1	Pole Vault World Record
		1	Texas Pole Vault
		1	best pole vault
		1	club camps
		1	group of pole vaulters
		1	include pole vaulting
		1	introduction to the pole vault
		1	pole vault bookby everything track
		1	pole vault pole vault web directory
		1	pole vault resources
		1	school pole
	Subtask ID: 8	Description: Find out pole vault Olympic rules
		2	a comprehensive look at olympic pole vault
		2	olympic pole vault essentials
		2	olympic pole vault main page
		2	pole vault girl olympics
		2	pole vault history
		2	pole vault olympics qualifying
		2	pole vault qualifiers to rio olympics
		2	pole vault rules
		2	pole vaulting in olympics
		1	Championships Pole Vault
		1	Girls Pole Vault
		1	Heights Pole Vault
		1	High School Pole Vault Records
		1	Invitational Pole Vault
		1	Jump Pole Vault
		1	Learn how pole vaulters
		1	Pole Vault Camp
		1	Pole Vault Equipment
		1	Pole Vault Olympic Trials
		1	Pole Vault Records Men
		1	Pole Vault Technique
		1	Pole Vault World Record in Feet
		1	Pole Vaulting Bar
		1	School Pole Vaulter
		1	bill falk
		1	cheat code pole vault
		1	coach sport/event specific articles
		1	include pole vaulting
		1	introduction to the pole vault
		1	olympic pole vault
		1	pole size
		1	pole vault
		1	pole vault bookby everything track
		1	pole vault camp
		1	pole vault camps
		1	pole vault clinic club competitions weekly dallas fort worth texas poles polevault girls boys clinics camps lessons
		1	pole vault crotch shot
		1	pole vault education information
		1	pole vault fail
		1	pole vault finals in mexico city olympics
		1	pole vault game
		1	pole vault pole vault web directory
		1	pole vault resources
		1	pole vaulting
	Subtask ID: 9	Description: Youngest pole vault player at Olympics
		2	best pole vault
		2	pole vault history
		2	pole vault record
		2	pole vault records
		2	pole vault world record
		2	pole vaulter
		2	pole vaulter olympics
		2	pole vaulting in olympics
		1	Championships Pole Vault
		1	Games Pole Vault
		1	Girls Pole Vault
		1	Heights Pole Vault
		1	High School Pole Vault Records
		1	Pole Vault Camp
		1	Pole Vault Olympic Trials
		1	Pole Vault Page
		1	Pole Vault Records Men
		1	Pole Vault Summit
		1	Pole Vault World Record
		1	Pole Vault World Record in Feet
		1	School Pole Vaulter
		1	a comprehensive look at olympic pole vault
		1	include pole vaulting
		1	national high school record
		1	olympic pole vault
		1	olympic pole vault essentials
		1	olympic pole vault main page
		1	pole vault bookby everything track
		1	pole vault camp
		1	pole vault camps
		1	pole vault education information
		1	pole vault finals in mexico city olympics
		1	pole vault girl olympics
		1	pole vault images at olympics
		1	pole vault pole vault web directory
		1	pole vault qualifiers to rio olympics
		1	pole vault results olympics
		1	pole vauters
	Subtask ID: 10	Description: Competitions to compete in pole vaulting
		2	Championships Pole Vault
		2	a comprehensive look at olympic pole vault
		2	fly alongside allison stokke
		2	org iaaf competitions iaaf competitions
		2	park hill senior sets
		2	pole vault game
		2	pole vault girl olympics
		2	pole vault olympics qualifying
		1	Games Pole Vault
		1	Girls Pole Vault
		1	Heights Pole Vault
		1	High School Pole Vault Records
		1	Invitational Pole Vault
		1	Jump Pole Vault
		1	Learn how pole vaulters
		1	Open Pole Vault
		1	Pole Vault Page
		1	Pole Vault Records Men
		1	Pole Vault Summit
		1	Pole Vault World Record
		1	Pole Vault World Record in Feet
		1	Pole Vaulting Tips
		1	Relays Pole Vault
		1	School Pole Vaulter
		1	Texas Pole Vault
		1	best pole vault
		1	cheat code pole vault
		1	event group development stage
		1	group of pole vaulters
		1	iaaf registered testing pool
		1	include pole vaulting
		1	introduction to the pole vault
		1	national high school record
		1	olympic pole vault
		1	olympic pole vault essentials
		1	olympic pole vault main page
		1	pole vault bookby everything track
		1	pole vault chart flex
		1	pole vault clinic club competitions weekly dallas fort worth texas poles polevault girls boys clinics camps lessons
		1	pole vault finals in mexico city olympics
		1	pole vault history
		1	pole vault pole vault web directory
		1	pole vault resources
		1	pole vault results olympics
		1	pole vaulting in olympics
		1	sergey bubka wins gold
Task ID: 4	Task: become an allergist
	Subtask ID: 1	Description: what is official name for allergy doctor
		2	What is an allergy and immunology doctor
		2	allergist / immunologist
		2	allergist job description
		2	allergy american asthma college immunology
		1	Allergist Career
		1	Allergist Residency
		1	Colleges for Allergists
		1	How to Become an Immunologist
		1	What do you have to do to become an allergist
		1	academy allergy american asthma immunology
		1	allergist career outlook
		1	allergist salary
		1	allergy and immunology lifestyle
		1	allergy annual clinical immunology meeting
		1	become an allergist
		1	colleges for allergists
		1	colleges to become an allergist
		1	consult a board certified allergist immunologist
		1	degrees needed to become an allergist
		1	does it take to become an allergist
		1	education to become an allergist
		1	find an allergist experts in the diagnosis and treatment of allergies and asthma
		1	how do you become an allergist
		1	how long does it take to become an allergist
		1	how many years to become an allergist
		1	how to become an allergist
		1	how to become an allergist immunologist
		1	how to become an allergist in australia
		1	how to become an allergist in canada
		1	how to become an allergist specialist
		1	how to become an allergist uk
		1	how to become an allergists
		1	salary of an allergist
		1	schools to become an allergist
		1	training to become an allergist
		1	what is allergy immunology
		1	what personal skills or qualities are needed to become an allergist
		1	why you should see an allergist
	Subtask ID: 2	Description: Schools to train and specialize in allergies
		2	Allergist School
		2	Colleges for Allergists
		2	allergy american asthma college immunology
		2	colleges for allergists
		2	colleges to become an allergist
		2	schools to become an allergist
		1	Allergists College
		1	How to Become an Immunologist
		1	What do you have to do to become an allergist
		1	What is an allergy and immunology doctor
		1	academy allergy american asthma immunology
		1	allergist / immunologist
		1	become an allergist
		1	education to become an allergist
		1	how to become an allergist
		1	how to become an allergist assistant
		1	how to become an allergist immunologist
		1	how to become an allergist in australia
		1	how to become an allergist in canada
		1	how to become an allergist specialist
		1	how to become an allergist uk
		1	how to become an allergists
		1	medical school
		1	training to become an allergist
	Subtask ID: 3	Description: Find fellowships to support allergy doctor tuition
		1	Allergist School
		1	What do you have to do to become an allergist
		1	become an allergist
		1	colleges for allergists
		1	colleges to become an allergist
	Subtask ID: 4	Description: Find cheap books online for allergy study
	Subtask ID: 5	Description: Pay of allergy doctors
		2	allergist career outlook
		2	allergist salary
		2	salary of an allergist
		1	Allergist Career
		1	What do you have to do to become an allergist
		1	allergist / immunologist
		1	become an allergist
	Subtask ID: 6	Description: How long does it take to become an allergy doctor
		2	How to Become an Immunologist
		2	What do you have to do to become an allergist
		2	become an allergist
		2	colleges for allergists
		2	colleges to become an allergist
		2	how do you become an allergist
		2	how long does it take to become an allergist
		2	how many years to become an allergist
		2	how to become an allergist specialist
		2	how to become an allergists
		2	schools to become an allergist
		2	training to become an allergist
		1	Allergist Career
		1	Allergist Residency
		1	Allergist School
		1	Allergists College
		1	Colleges for Allergists
		1	What is an allergy and immunology doctor
		1	allergist / immunologist
		1	allergist career outlook
		1	allergy american asthma college immunology
		1	degrees needed to become an allergist
		1	does it take to become an allergist
		1	education to become an allergist
		1	how to become an allergist
		1	how to become an allergist immunologist
Task ID: 5	Task: bird spotting
	Subtask ID: 1	Description: Learn how to spot birds
		1	99 bird spotting
		1	Bird Spotting App
	Subtask ID: 2	Description: What is the best time to spot birds
		1	99 bird spotting
		1	curious friday and bird spotting
		1	winter bird spotting
	Subtask ID: 3	Description: Places to spot birds
		2	birding spots listed
		2	hot birding spots
		1	99 bird spotting
		1	Birding Spots Module
		1	Birds of Australia
		1	Spots Birding Guides
		1	africa bird
		1	arkansas bird
		1	bird spotting in chicago
		1	bird spotting in kigali
		1	bird spotting on the eco tour
		1	birding spots again
		1	birding spots because
		1	birding spots can
		1	birding spots considers
		1	birding spots fields
		1	birding spots in the right
		1	birding spots is to enter
		1	birding spots publish
		1	birding spots stations
		1	birding spots to which the colossi
		1	birding spots visually
		1	garden bird spotting sheet
		1	habitats module
		1	index of birding spots
		1	individual site pages
		1	labrador bird
		1	locating birding spots
		1	nova scotia bird
		1	oklahoma bird
		1	page and the Birding Spot
		1	prince edward island bird
		1	quebec bird
		1	rhode island bird
		1	saskatchewan bird
		1	site list
		1	up the birding spot
		1	yosemite conservancy guide
		1	yosemite national park
		1	yosemite visual guide
	Subtask ID: 4	Description: Books to learn spotting birds
		2	bird spotting book
		1	bird guides
		1	bird spotting photos
		1	rspb bird guide
		1	rspb bird identification
	Subtask ID: 5	Description: How to spot baby birds
	Subtask ID: 6	Description: How to differentiate birds on basis of nests
	Subtask ID: 7	Description: Videos online of spotting birds
		1	99 bird spotting
		1	bird spotting photos
		1	bird spotting websites
		1	vintage bird spotting video
		1	watching bird spotting
	Subtask ID: 8	Description: Which birds are hardest to spot
		1	bird spotting
	Subtask ID: 9	Description: How quickly can I learn to spot birds?
	Subtask ID: 10	Description: App to spot birds
		2	Bird Spotting App
		2	bird spotting app android
	Subtask ID: 11	Description: Identify bird with a picture online
		1	bird identification
		1	bird spotting photos
		1	bird spotting websites
		1	happens to me when I spot unfamiliar bird
		1	vintage bird spotting video
	Subtask ID: 12	Description: Tools required to spot birds (such as binoculars, etc)
		2	Spotting Scope for Birding
		2	binoculars bird watching
		2	binoculars for bird spotting
		2	bird spotting binoculars
		2	bird spotting scope reviews
		2	bird spotting scopes
		2	bird-watching tools
		2	view all bird watching spotting scopes
		2	your binoculars for bird spotting
		1	Bird Spotting Scopes Comparisons
		1	Bird Spotting Scopes Reviews
		1	Bird Watching Spotting Scope
		1	Rain Bird Landscape Spot
		1	bird scope
		1	bird spotting chart
		1	bird spotting checklist
		1	bird spotting scope
		1	bird spotting scopes reviews
		1	bird spotting sheet
		1	bird spotting sheet ks1
		1	bird watching spotting scopes
		1	review compares spotting scopes
		1	rspb bird guide
		1	rspb bird identification
		1	scopes power
		1	spotter scope
		1	spotting scope
		1	spotting scopes
		1	spotting scopes pack incredible magnification
		1	tripod legs
		1	vanguard scopes
		1	yosemite visual guide
Task ID: 6	Task: care for a toy poodle
	Subtask ID: 1	Description: How to care for poodle
		2	Caring for a Teacup Poodle
		2	How to Care for Poodles
		2	Toy Poodle Care Tips
		2	Toy Poodle Care and Training
		2	Toy Poodle Information Care
		2	care for a toy poodle
		2	care miniature poodle
		2	care standard poodle
		2	care teacup poodle
		2	care tiny toy poodle
		2	dog health tips
		2	ear care for toy poodles
		2	eye care for toy poodles
		2	how to care for a pregnant toy poodle
		2	how to care for a toy poodle
		2	how to care for a toy poodle puppy
		2	toy poodle care
		1	Canadian Toy Poodle
		1	Toy Poodle Books
		1	Toy Poodle health
		1	avoid health problems
		1	brush recommendations
		1	care for toy poodle puppy
		1	dog eats wet food
		1	food
		1	food & water
		1	grooming angel pet salon
		1	poodle care
		1	puppy care information
		1	puppy food
		1	raw food diet
		1	small stomach capacity means
		1	toy poodle health
		1	toy poodle health care
		1	toy poodle health care feeding
		1	toy poodle health problems
		1	toy poodle pictures information care requirements and other dog breeds
	Subtask ID: 2	Description: Find Caretaker online for poodle
		2	animal shelters directory
		1	Toy Poodle health
	Subtask ID: 3	Description: Buy grooming supplies for a poodle
		1	care standard poodle
		1	care teacup poodle
		1	toy poodle merchandise
	Subtask ID: 4	Description: Find store to buy grooming supplies
		1	toy poodle merchandise
	Subtask ID: 5	Description: Cost of keeping a poodle
		1	checkout poodles small pets cost
		1	girls dogs toy poodle cost
	Subtask ID: 6	Description: How big can poodles get
		2	15 highest inches point shoulders
		2	Miniature Poodle Size and Weight
		1	Toy Poodles for Sale
		1	adult dog
		1	toy poodle pint sized wonder!
	Subtask ID: 7	Description: How to find mating partner for a poodle
		2	Stud Toy Poodle
		1	)Breed Toy Poodle
		1	Toy Poodles for Sale
		1	breed dog
		1	breed home list poodle toy
		1	breeders educate poodle prospective puppy
		1	poodle dog breed poodle profile
		1	toy poodle breed info and pictures
	Subtask ID: 8	Description: How to train a poodle at home
		2	Toy Poodle Care and Training
		1	become champion poodle puppy quality
		1	dog food
		1	german know technology tracking training
		1	means ignoring bad behavior
		1	poodle dog breed poodle profile
		1	toy poodle health care feeding
Task ID: 7	Task: cure indigestion
	Subtask ID: 1	Description: Home remedy for indigestion
		2	Best Home Remedy for Indigestion
		2	How to Cure Indigestion Fast
		2	Indigestion Cures Naturally
		2	approved Indigestion Cure
		2	aromatherapy indigestion cure
		2	cure indigestion
		2	cure indigestion at home
		2	cures for indigestion
		2	ginger juice indigestion cure
		2	home remedies to cure indigestion
		2	indigestion cure Home
		2	indigestion cure home remedy
		2	indigestion home remedies
		2	natural remedies to cure indigestion
		1	Assist Cure My Indigestion
		1	How to Relieve Indigestion Naturally
		1	Looking for an indigestion cure
		1	Natural Ways to Cure Indigestion
		1	Remedies for Bloating and Indigestion
		1	aid cure your indigestion
		1	artichoke leaf extract
		1	cure for indigestion and heartburn
		1	cure for indigestion then it would imply
		1	cure indigestion and gas
		1	cure indigestion baking soda
		1	cure indigestion during pregnancy
		1	cure indigestion fast
		1	cure indigestion in pregnancy
		1	cure indigestion milk
		1	cure indigestion naturally
		1	for indigestion cure
		1	home remedies
		1	how to cure indigestion and heartburn
		1	htm Indigestion Cure
		1	indigestion cure natural treatment
		1	indigestion cure natural treatment for dyspepsia
		1	indigestion remedies cure
		1	read how to cure indigestion
		1	yoga and exercise to cure indigestion
		1	yoga cure for indigestion
	Subtask ID: 2	Description: Food to prevent indigestion
		1	Nourishment Cure My Indigestion
	Subtask ID: 3	Description: Medicines that cure indigestion
		2	Disorders Indigestion Cure
		2	Indigestion Cure medications
		2	alka seltza work
		2	approved Indigestion Cure
		2	cure indigestion
		2	cures for indigestion
		1	Assist Cure My Indigestion
		1	Cures For Indigestion And Acid
		1	Cures For Indigestion Fibromyalgia
		1	Heartburn and indigestion cures
		1	Looking for an indigestion cure
		1	USD indigestion cure
		1	aid cure your indigestion
		1	cure for indigestion and heartburn
		1	cure for indigestion then it would imply
		1	cure indigestion and gas
		1	cure indigestion during pregnancy
		1	cure indigestion fast
		1	cure indigestion in pregnancy
		1	for indigestion cure
		1	htm Indigestion Cure
		1	indigestion cure Levitra
		1	indigestion cure with proven
		1	indigestion remedies cure
		1	read how to cure indigestion
	Subtask ID: 4	Description: Doctor to consult for chronic indigestion
		2	cures for indigestion
		1	Assist Cure My Indigestion
		1	Looking for an indigestion cure
		1	cure for indigestion and heartburn
		1	cure indigestion
	Subtask ID: 5	Description: What causes indigestion?
		1	acid indigestion
		1	bile reflux
		1	indigestion causes
		1	small bowel bacterial overgrowth —
		1	spicy foods
Task ID: 8	Task: white water rafting
	Subtask ID: 1	Description: How to learn white water rafting
		1	Center White Water Rafting
		1	Details White Water Rafting
		1	White Water Rafting Experience
		1	white water rafting tips
		1	white water rafting training
		1	white water rafting video
	Subtask ID: 2	Description: Cost of learning white water rafting
		1	Center White Water Rafting
		1	Details White Water Rafting
		1	white water rafting tips
		1	white water rafting training
	Subtask ID: 3	Description: Where shall I buy equipment for white water rafting?
		2	list of several white water rafting outfitters
		1	Center White Water Rafting
		1	Details White Water Rafting
		1	Odyssey White Water Rafting
		1	Outfitters White Water Rafting
		1	packs white water rafting
		1	personal items towel plastic bag
		1	what to wear white water rafting
		1	white water rafting tips
	Subtask ID: 4	Description: What is the best time of year to learn white water rafting?
		1	Center White Water Rafting
		1	Details White Water Rafting
		1	best river rafting destinations
		1	what to wear white water rafting
		1	white water rafting tips
		1	whitewater river rafting destinations
	Subtask ID: 5	Description: Find cheap trainers or training academy for white water rafting
		2	white water rafting training
		1	California white water rafting
		1	Canyon White Water Rafting
		1	Center White Water Rafting
		1	Details White Water Rafting
		1	Ecuador White Water Rafting
		1	England White Water Rafting
		1	Utah white water rafting
		1	White Water Rafting Arkansas
		1	White Water Rafting Colorado Springs
		1	White Water Rafting Experience
		1	White Water Rafting Georgia
		1	White Water Rafting Ohio
		1	White Water Rafting Pigeon Forge
		1	White Water Rafting West Virginia
		1	White Water Rafting in Bryson
		1	White Water Rafting in Buena
		1	White water rafting uk
		1	Whitewater Rafting Chattanooga TN
		1	ability levels
		1	best river rafting destinations
		1	california whitewater rafting river trips
		1	colorado whitewater river rafting
		1	england white water rafting
		1	ocoee river whitewater rafting
		1	pocono whitewater rafting
		1	tn whitewater
		1	utah whitewater
		1	white water rafting africa
		1	white water rafting at ohiopyle
		1	white water rafting bali
		1	white water rafting experiences
		1	white water rafting foresters
		1	white water rafting gatlinburg tn
		1	white water rafting georgia
		1	white water rafting grand canyon
		1	white water rafting hells
		1	white water rafting in panama
		1	white water rafting in the smokies
		1	white water rafting kenya
		1	white water rafting maine
		1	white water rafting nc
		1	white water rafting nj
		1	white water rafting ny
		1	white water rafting okc
		1	white water rafting ottawa
		1	white water rafting pa
		1	white water rafting pennsylvania
		1	white water rafting pigeon forge
		1	white water rafting tennessee
		1	white water rafting tips
		1	white water rafting tn
		1	white water rafting turkey antalya
		1	white water rafting west virginia
		1	whitewater rafting in papua new guinea
		1	whitewater rafting in wales
		1	whitewater rafting norway
		1	whitewater river rafting destinations
	Subtask ID: 6	Description: Precautions to take while white water rafting
		1	Center White Water Rafting
		1	Details White Water Rafting
		1	White Water Rafting Experience
		1	white water rafting experiences
		1	white water rafting tips
	Subtask ID: 7	Description: What is the best place to go for white water rafting?
